"event","experiment time","system time","system time text"
"START",0.000000000E0,1778749209.608,"2026-05-14 11:00:09.608 UTC+02:00"
"PAUSE",2.801264162E1,1778749237.621,"2026-05-14 11:00:37.621 UTC+02:00"
