"event","experiment time","system time","system time text"
"START",0.000000000E0,1778691123.072,"2026-05-13 18:52:03.072 UTC+02:00"
"PAUSE",2.000855977E1,1778691143.081,"2026-05-13 18:52:23.081 UTC+02:00"
