"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.339262370E-1,-7.424449921E-1,5.425050259E-1,5.487199873E-2,9.211662204E-1
1.378671600E-1,-7.424449921E-1,5.425050259E-1,5.487199873E-2,9.211662204E-1
1.418078420E-1,-7.424449921E-1,5.425050259E-1,5.487199873E-2,9.211662204E-1
1.457490730E-1,-7.424449921E-1,5.425050259E-1,5.487199873E-2,9.211662204E-1
1.496896880E-1,-7.424449921E-1,5.425050259E-1,5.487199873E-2,9.211662204E-1
1.536304960E-1,-1.012416959E0,3.296760023E-1,-3.669039905E-1,1.126185111E0
1.575708810E-1,-1.012416959E0,3.296760023E-1,-3.669039905E-1,1.126185111E0
1.615114960E-1,-1.012416959E0,3.296760023E-1,-3.669039905E-1,1.126185111E0
1.654518040E-1,-1.012416959E0,3.296760023E-1,-3.669039905E-1,1.126185111E0
1.693924200E-1,-1.012416959E0,3.296760023E-1,-3.669039905E-1,1.126185111E0
1.733332660E-1,-1.252827048E0,2.056120038E-1,-1.526504040E0,1.985463798E0
1.772739430E-1,-1.252827048E0,2.056120038E-1,-1.526504040E0,1.985463798E0
1.812141740E-1,-1.252827048E0,2.056120038E-1,-1.526504040E0,1.985463798E0
1.851547890E-1,-1.252827048E0,2.056120038E-1,-1.526504040E0,1.985463798E0
1.890954100E-1,-1.252827048E0,2.056120038E-1,-1.526504040E0,1.985463798E0
1.930357170E-1,-1.418171048E0,2.794139981E-1,-2.773730993E0,3.127757172E0
1.969761020E-1,-1.418171048E0,2.794139981E-1,-2.773730993E0,3.127757172E0
2.009170100E-1,-1.418171048E0,2.794139981E-1,-2.773730993E0,3.127757172E0
2.048581640E-1,-1.418171048E0,2.794139981E-1,-2.773730993E0,3.127757172E0
2.087991640E-1,-1.418171048E0,2.794139981E-1,-2.773730993E0,3.127757172E0
2.127394150E-1,-1.347805977E0,4.529759884E-1,-3.129775047E0,3.437624186E0
2.166794920E-1,-1.347805977E0,4.529759884E-1,-3.129775047E0,3.437624186E0
2.206204150E-1,-1.347805977E0,4.529759884E-1,-3.129775047E0,3.437624186E0
2.245610100E-1,-1.347805977E0,4.529759884E-1,-3.129775047E0,3.437624186E0
2.285015490E-1,-1.347805977E0,4.529759884E-1,-3.129775047E0,3.437624186E0
2.330024720E-1,-6.965460181E-1,4.546239972E-1,-4.626505852E0,4.700682475E0
2.363831790E-1,-6.965460181E-1,4.546239972E-1,-4.626505852E0,4.700682475E0
2.403246400E-1,-6.965460181E-1,4.546239972E-1,-4.626505852E0,4.700682475E0
2.442656400E-1,-6.965460181E-1,4.546239972E-1,-4.626505852E0,4.700682475E0
2.482065340E-1,-6.965460181E-1,4.546239972E-1,-4.626505852E0,4.700682475E0
2.521471490E-1,-7.017859817E-1,-4.085600078E-1,-5.180950165E0,5.244203415E0
2.560880720E-1,-7.017859817E-1,-4.085600078E-1,-5.180950165E0,5.244203415E0
2.600285970E-1,-7.017859817E-1,-4.085600078E-1,-5.180950165E0,5.244203415E0
2.639686730E-1,-7.017859817E-1,-4.085600078E-1,-5.180950165E0,5.244203415E0
2.679095970E-1,-7.017859817E-1,-4.085600078E-1,-5.180950165E0,5.244203415E0
2.718495630E-1,-1.076833963E0,-4.370709956E-1,-3.192692041E0,3.397629307E0
2.757898700E-1,-1.076833963E0,-4.370709956E-1,-3.192692041E0,3.397629307E0
2.797304090E-1,-1.076833963E0,-4.370709956E-1,-3.192692041E0,3.397629307E0
2.836707160E-1,-1.076833963E0,-4.370709956E-1,-3.192692041E0,3.397629307E0
2.876114090E-1,-1.076833963E0,-4.370709956E-1,-3.192692041E0,3.397629307E0
2.915519470E-1,-7.292919755E-1,-4.258939922E-1,-2.757704973E0,2.884127112E0
2.954922260E-1,-7.292919755E-1,-4.258939922E-1,-2.757704973E0,2.884127112E0
2.994332260E-1,-7.292919755E-1,-4.258939922E-1,-2.757704973E0,2.884127112E0
3.033740720E-1,-7.292919755E-1,-4.258939922E-1,-2.757704973E0,2.884127112E0
3.073150000E-1,-7.292919755E-1,-4.258939922E-1,-2.757704973E0,2.884127112E0
