"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.566556500E-1,6.190500036E-2,-5.117300153E-2,-1.556430012E-1,1.751446516E-1
2.606002660E-1,1.001439989E-1,-7.862299681E-2,-2.375030071E-1,2.694774100E-1
2.645451120E-1,1.001439989E-1,-7.862299681E-2,-2.375030071E-1,2.694774100E-1
2.684891890E-1,1.001439989E-1,-7.862299681E-2,-2.375030071E-1,2.694774100E-1
2.724337270E-1,1.001439989E-1,-7.862299681E-2,-2.375030071E-1,2.694774100E-1
2.763778090E-1,1.001439989E-1,-7.862299681E-2,-2.375030071E-1,2.694774100E-1
2.803223470E-1,1.519020051E-1,-1.604769975E-1,-1.831990033E-1,2.870347726E-1
2.842663470E-1,1.519020051E-1,-1.604769975E-1,-1.831990033E-1,2.870347726E-1
2.882106690E-1,1.519020051E-1,-1.604769975E-1,-1.831990033E-1,2.870347726E-1
2.921547460E-1,1.519020051E-1,-1.604769975E-1,-1.831990033E-1,2.870347726E-1
2.960989770E-1,1.519020051E-1,-1.604769975E-1,-1.831990033E-1,2.870347726E-1
3.000432700E-1,6.746999919E-2,-7.877899706E-2,-1.016929969E-1,1.452576910E-1
3.039876540E-1,6.746999919E-2,-7.877899706E-2,-1.016929969E-1,1.452576910E-1
3.079319620E-1,6.746999919E-2,-7.877899706E-2,-1.016929969E-1,1.452576910E-1
3.118762700E-1,6.746999919E-2,-7.877899706E-2,-1.016929969E-1,1.452576910E-1
3.158205770E-1,6.746999919E-2,-7.877899706E-2,-1.016929969E-1,1.452576910E-1
3.197651160E-1,-9.848699719E-2,3.006099910E-2,-1.018590033E-1,1.448399421E-1
3.237093950E-1,-9.848699719E-2,3.006099910E-2,-1.018590033E-1,1.448399421E-1
3.276537790E-1,-9.848699719E-2,3.006099910E-2,-1.018590033E-1,1.448399421E-1
3.315980100E-1,-9.848699719E-2,3.006099910E-2,-1.018590033E-1,1.448399421E-1
3.355421010E-1,-9.848699719E-2,3.006099910E-2,-1.018590033E-1,1.448399421E-1
3.394867160E-1,8.352999575E-3,-1.064170003E-1,-1.836560071E-1,2.124238204E-1
3.434309470E-1,8.352999575E-3,-1.064170003E-1,-1.836560071E-1,2.124238204E-1
3.473749280E-1,8.352999575E-3,-1.064170003E-1,-1.836560071E-1,2.124238204E-1
3.513190050E-1,8.352999575E-3,-1.064170003E-1,-1.836560071E-1,2.124238204E-1
3.552632360E-1,8.352999575E-3,-1.064170003E-1,-1.836560071E-1,2.124238204E-1
3.592075290E-1,1.563390046E-1,-1.610040069E-1,6.914000027E-3,2.245261187E-1
3.631509140E-1,1.563390046E-1,-1.610040069E-1,6.914000027E-3,2.245261187E-1
3.670946830E-1,1.563390046E-1,-1.610040069E-1,6.914000027E-3,2.245261187E-1
3.710386780E-1,1.563390046E-1,-1.610040069E-1,6.914000027E-3,2.245261187E-1
3.749823710E-1,1.563390046E-1,-1.610040069E-1,6.914000027E-3,2.245261187E-1
3.789254480E-1,4.581499845E-2,-1.113099977E-2,-4.771700129E-2,6.708073830E-2
3.828691400E-1,4.581499845E-2,-1.113099977E-2,-4.771700129E-2,6.708073830E-2
3.868128320E-1,4.581499845E-2,-1.113099977E-2,-4.771700129E-2,6.708073830E-2
3.907568320E-1,4.581499845E-2,-1.113099977E-2,-4.771700129E-2,6.708073830E-2
3.947007550E-1,4.581499845E-2,-1.113099977E-2,-4.771700129E-2,6.708073830E-2
3.986445250E-1,-9.176100045E-2,4.337299988E-2,-2.657670081E-1,2.844879627E-1
4.025888320E-1,-9.176100045E-2,4.337299988E-2,-2.657670081E-1,2.844879627E-1
4.065328270E-1,-9.176100045E-2,4.337299988E-2,-2.657670081E-1,2.844879627E-1
4.104767500E-1,-9.176100045E-2,4.337299988E-2,-2.657670081E-1,2.844879627E-1
4.144205200E-1,-9.176100045E-2,4.337299988E-2,-2.657670081E-1,2.844879627E-1
4.183638940E-1,-1.470600069E-1,7.055100054E-2,-2.385720015E-1,2.889994622E-1
4.223075100E-1,-1.470600069E-1,7.055100054E-2,-2.385720015E-1,2.889994622E-1
4.262518170E-1,-1.470600069E-1,7.055100054E-2,-2.385720015E-1,2.889994622E-1
4.301954770E-1,-1.470600069E-1,7.055100054E-2,-2.385720015E-1,2.889994622E-1
4.341391690E-1,-1.470600069E-1,7.055100054E-2,-2.385720015E-1,2.889994622E-1
4.380832460E-1,-9.263999760E-2,-7.934600115E-2,-3.424400091E-2,1.266909967E-1
4.420280670E-1,-9.263999760E-2,-7.934600115E-2,-3.424400091E-2,1.266909967E-1
4.459727590E-1,-9.263999760E-2,-7.934600115E-2,-3.424400091E-2,1.266909967E-1
4.499172980E-1,-9.263999760E-2,-7.934600115E-2,-3.424400091E-2,1.266909967E-1
4.538612790E-1,-9.263999760E-2,-7.934600115E-2,-3.424400091E-2,1.266909967E-1
4.578049710E-1,-1.068199985E-2,-1.610520035E-1,-6.990000140E-3,1.615571510E-1
4.617487400E-1,-1.068199985E-2,-1.610520035E-1,-6.990000140E-3,1.615571510E-1
4.656930580E-1,-1.068199985E-2,-1.610520035E-1,-6.990000140E-3,1.615571510E-1
4.696370580E-1,-1.068199985E-2,-1.610520035E-1,-6.990000140E-3,1.615571510E-1
4.735806730E-1,-1.068199985E-2,-1.610520035E-1,-6.990000140E-3,1.615571510E-1
4.775241400E-1,8.486700058E-2,-1.609040052E-1,-1.432300061E-1,2.315325923E-1
4.814678320E-1,8.486700058E-2,-1.609040052E-1,-1.432300061E-1,2.315325923E-1
4.854121400E-1,8.486700058E-2,-1.609040052E-1,-1.432300061E-1,2.315325923E-1
4.893558320E-1,8.486700058E-2,-1.609040052E-1,-1.432300061E-1,2.315325923E-1
4.933001400E-1,8.486700058E-2,-1.609040052E-1,-1.432300061E-1,2.315325923E-1
4.972441400E-1,1.800750047E-1,-1.197220013E-1,-2.795630097E-1,3.534343522E-1
5.011883560E-1,1.800750047E-1,-1.197220013E-1,-2.795630097E-1,3.534343522E-1
5.051324330E-1,1.800750047E-1,-1.197220013E-1,-2.795630097E-1,3.534343522E-1
5.090763560E-1,1.800750047E-1,-1.197220013E-1,-2.795630097E-1,3.534343522E-1
5.130200630E-1,1.800750047E-1,-1.197220013E-1,-2.795630097E-1,3.534343522E-1
5.169643710E-1,1.800750047E-1,-1.197220013E-1,-2.795630097E-1,3.534343522E-1
5.209080630E-1,4.386800155E-2,-5.122800171E-2,-2.797079980E-1,2.877243019E-1
5.248520430E-1,4.386800155E-2,-5.122800171E-2,-2.797079980E-1,2.877243019E-1
5.287961200E-1,4.386800155E-2,-5.122800171E-2,-2.797079980E-1,2.877243019E-1
5.327401200E-1,4.386800155E-2,-5.122800171E-2,-2.797079980E-1,2.877243019E-1
5.366840430E-1,4.386800155E-2,-5.122800171E-2,-2.797079980E-1,2.877243019E-1
