"event","experiment time","system time","system time text"
"START",0.000000000E0,1778690830.269,"2026-05-13 18:47:10.269 UTC+02:00"
"PAUSE",2.002251354E1,1778690850.292,"2026-05-13 18:47:30.292 UTC+02:00"
