"event","experiment time","system time","system time text"
"START",0.000000000E0,1778691063.356,"2026-05-13 18:51:03.356 UTC+02:00"
"PAUSE",2.001451846E1,1778691083.370,"2026-05-13 18:51:23.370 UTC+02:00"
